sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
256 , 2023-07-05 10:18:22.360752 , 0 , 0 , 26 , 45
257 , 2023-07-05 10:18:27.703467 , 0 , 0 , 26 , 45
258 , 2023-07-05 10:18:31.958645 , 0 , 0 , 26 , 45
259 , 2023-07-05 10:18:36.207014 , 0 , 0 , 26 , 45
260 , 2023-07-05 10:18:40.464641 , 0 , 2 , 26 , 47
261 , 2023-07-05 10:18:44.685106 , 0 , 1 , 26 , 48
262 , 2023-07-05 10:18:48.945504 , 0 , 0 , 26 , 48
263 , 2023-07-05 10:18:53.283008 , 0 , 1 , 26 , 49
264 , 2023-07-05 10:18:58.786782 , 0 , 0 , 26 , 49
265 , 2023-07-05 10:19:03.079572 , 1 , 0 , 27 , 49
266 , 2023-07-05 10:19:07.410227 , 0 , 0 , 27 , 49
267 , 2023-07-05 10:19:11.780768 , 1 , 0 , 28 , 49
268 , 2023-07-05 10:19:16.130490 , 0 , 1 , 28 , 50
269 , 2023-07-05 10:19:20.489987 , 2 , 0 , 30 , 50
270 , 2023-07-05 10:19:24.851581 , 2 , 0 , 32 , 50
271 , 2023-07-05 10:19:29.185829 , 1 , 0 , 33 , 50
272 , 2023-07-05 10:19:33.507603 , 1 , 0 , 34 , 50
273 , 2023-07-05 10:19:37.919031 , 0 , 0 , 34 , 50
274 , 2023-07-05 10:19:42.201308 , 0 , 0 , 34 , 50
275 , 2023-07-05 10:19:46.454641 , 0 , 0 , 34 , 50
276 , 2023-07-05 10:19:50.672537 , 0 , 0 , 34 , 50
277 , 2023-07-05 10:19:54.830954 , 0 , 0 , 34 , 50
278 , 2023-07-05 10:20:00.502564 , 0 , 0 , 34 , 50
279 , 2023-07-05 10:20:04.612353 , 0 , 0 , 34 , 50
280 , 2023-07-05 10:20:08.783990 , 0 , 0 , 34 , 50
281 , 2023-07-05 10:20:12.936882 , 0 , 0 , 34 , 50
282 , 2023-07-05 10:20:17.130593 , 0 , 0 , 34 , 50
283 , 2023-07-05 10:20:21.340562 , 0 , 2 , 34 , 52
284 , 2023-07-05 10:20:25.526435 , 0 , 0 , 34 , 52
285 , 2023-07-05 10:20:29.722534 , 0 , 0 , 34 , 52
286 , 2023-07-05 10:20:33.919449 , 0 , 0 , 34 , 52
287 , 2023-07-05 10:20:38.081802 , 0 , 0 , 34 , 52
288 , 2023-07-05 10:20:42.259265 , 0 , 1 , 34 , 53
289 , 2023-07-05 10:20:46.386500 , 0 , 0 , 34 , 53
290 , 2023-07-05 10:20:50.538050 , 0 , 0 , 34 , 53
291 , 2023-07-05 10:20:54.715912 , 0 , 0 , 34 , 53
292 , 2023-07-05 10:20:58.854018 , 0 , 0 , 34 , 53
293 , 2023-07-05 10:21:02.981525 , 0 , 0 , 34 , 53
